AS    Afghanistan, Islamic Republic of
EU    Aland Islands
EU    Albania, Republic of
AF    Algeria, People's Democratic Republic of
OC    American Samoa
EU    Andorra, Principality of
AF    Angola, Republic of
NA    Anguilla
AN    Antarctica
NA    Antigua and Barbuda
SA    Argentina, Argentine Republic
AS    Armenia, Republic of
NA    Aruba
OC    Australia, Commonwealth of
EU    Austria, Republic of
AS    Azerbaijan, Republic of
NA    Bahamas, Commonwealth of the
AS    Bahrain, Kingdom of
AS    Bangladesh, People's Republic of
NA    Barbados
EU    Belarus, Republic of
EU    Belgium, Kingdom of
NA    Belize
AF    Benin, Republic of
NA    Bermuda
AS    Bhutan, Kingdom of
SA    Bolivia, Republic of
EU    Bosnia and Herzegovina
AF    Botswana, Republic of
AN    Bouvet Island (Bouvetoya)
SA    Brazil, Federative Republic of
AS    British Indian Ocean Territory (Chagos Archipelago)
NA    British Virgin Islands
AS    Brunei Darussalam
EU    Bulgaria, Republic of
AF    Burkina Faso
AF    Burundi, Republic of
AS    Cambodia, Kingdom of
AF    Cameroon, Republic of
NA    Canada
AF    Cape Verde, Republic of
NA    Cayman Islands
AF    Central African Republic
AF    Chad, Republic of
SA    Chile, Republic of
AS    China, People's Republic of
AS    Christmas Island
AS    Cocos (Keeling) Islands
SA    Colombia, Republic of
AF    Comoros, Union of the
AF    Congo, Democratic Republic of the
AF    Congo, Republic of the
OC    Cook Islands
NA    Costa Rica, Republic of
AF    Cote d'Ivoire, Republic of
EU    Croatia, Republic of
NA    Cuba, Republic of
AS    Cyprus, Republic of
EU    Czech Republic
EU    Denmark, Kingdom of
AF    Djibouti, Republic of
NA    Dominica, Commonwealth of
NA    Dominican Republic
SA    Ecuador, Republic of
AF    Egypt, Arab Republic of
NA    El Salvador, Republic of
AF    Equatorial Guinea, Republic of
AF    Eritrea, State of
EU    Estonia, Republic of
AF    Ethiopia, Federal Democratic Republic of
EU    Faroe Islands
SA    Falkland Islands (Malvinas)
OC    Fiji, Republic of the Fiji Islands
EU    Finland, Republic of
EU    France, French Republic
SA    French Guiana
OC    French Polynesia
AN    French Southern Territories
AF    Gabon, Gabonese Republic
AF    Gambia, Republic of the
AS    Georgia
EU    Germany, Federal Republic of
AF    Ghana, Republic of
EU    Gibraltar
EU    Greece, Hellenic Republic
NA    Greenland
NA    Grenada
NA    Guadeloupe
OC    Guam
NA    Guatemala, Republic of
EU    Guernsey, Bailiwick of
AF    Guinea, Republic of
AF    Guinea-Bissau, Republic of
SA    Guyana, Co-operative Republic of
NA    Haiti, Republic of
AN    Heard Island and McDonald Islands
EU    Holy See (Vatican City State)
NA    Honduras, Republic of
AS    Hong Kong, Special Administrative Region of China
EU    Hungary, Republic of
EU    Iceland, Republic of
AS    India, Republic of
AS    Indonesia, Republic of
AS    Iran, Islamic Republic of
AS    Iraq, Republic of
EU    Ireland
