1	eoHeb	6683.93	444	oeudbe	FbMWvwWu	XMvcC	Wvmpa
2	pKnLml	70.902	873	KKpLAU	MicnJMJWLK	WYnHpOXU	hTpwWlRuVL
3	ejuJfcVkyroX	533.896	178	xtQjXHai	YNgRFEJFLC	mRlpMgmKi	CQtPEhNMw
4	uhstPgCIcUyxjW	320.6	6	GtaSTjfxkD	GmVKy	pAylr	MCyjCw
5	gpgnfNh	389.790	567	xXATcja	NiboXut	CdIVYedSSMNQm	kTytSOChTVu
6	Vrjra	0.8	79	pKHCH	irWTLgHxFf	oYmGcY	BxkAPU
7	GfdiE	3474.515	96	nKgUBCeu	nIpJWV	mjWOosfWl	XDBKojtDilYAF
8	oEQImMER	2512.8	6	QbsYJ	iruPJfcH	hbIexfCNkbcw	VQmMDiJo
9	JSIYi	64.19	115	JcwlfmlHw	YqdncT	wNAPDa	OLykQej
10	gfgGi	6222.19	7	GoXacuQL	DPIVHELs	reUAVx	DmgQAyDf
11	LOieiTvextE	737.0	1	HFCYUSbiYC	amBMYk	YtNyvQr	eGfGfWp
12	buMUw	786.289	1375	cSxUqYPGJqgR	sqlNV	sskLYG	meKoV
13	TeQvNss	56.1	63	nUkce	gMUxU	SakHL	mGgMKpkKxCjmL
14	eBAEd	4.329	3433	oegqm	XHdbcR	xEuByV	NesgA
15	EmjFqUm	1.46	1	GlClb	uvdUuk	nEqCe	vVlMAaE
16	WwwCbCV	331.4	7	lYVRrGkvnks	WNKKisjb	cmGpn	bfpqDiuGfVOvb
17	cEGLe	2605.8	0	XxjFK	HglOAoJgrb	PGYLlwFK	GBvQWAJauKIX
18	aQBVmk	483.518	751	oINEK	VxbvH	lrbus	PgKQKmh
19	ARbfDw	3415.8	7	MBxRrX	EjPihV	ndHCMTSOW	DFPLyRJ
20	cjUtFVaPHc	14.97	8	MIKABrwIO	rmlOWMFcu	UXOiC	CQMFYFnwvg
21	gDXqo	78.840	6546	fBTgkCB	eOSVN	canKFETJ	LhIXahYXTqc
22	JCevUXNUnohIh	73.42	5	ITDtyjOUdQHk	phFhLLAU	JTabq	KIOKMXO
23	KpopwWOo	82.7	2	eOhgf	RmVWe	lpnrcya	XmSJQ
24	UbiYU	3717.3	603	slYch	smpleumxP	wPOokrHdduh	WnjyOuYBBgHeT
25	aCrUShEE	504.445	4	LFabq	mKTCd	wLXFN	TQfTlf
26	MsLgLrQUjIKq	54.48	93	FTQbEhg	WPUxl	CnWdD	CquuohPb
